pattern_type,pattern_id,count,channels,first_seen_at,first_seen_group,narrative_tags,example_text
same_text,ee4bdc71a81bf3b8,2,MoldovaPolitics;gagauznewsmd,2026-05-18T04:59:01+00:00,gagauznewsmd,gagauz_identity_history,"Кто первым поднял «гагаузский вопрос» в СССР

В современной литературе нередко утверждается, что активное обсуждение гагаузской темы в Советском Союзе началось только в конце 1940-х годов после инициативы группы московских студентов-востоковедов.

Однако ещё раньше этим занимался Иван Мещерюк. Уже в 1946–1948 годах он ставил перед научными и партийными структурами вопросы языка, культуры и исторического положения гагаузов.

Историк направлял обращения в Москву, Кишинёв и Киев, добиваясь вн"
same_text,8fa7339692184370,2,MoldovaPolitics;gagauznewsmd,2026-05-19T09:03:45+00:00,gagauznewsmd,transnistria_russia_protection,"📹⚡️ 🇷🇺 🇺🇦 ВС РФ будут готовы защитить проживающих в Приднестровье россиян, возможно, попутно освободив Одессу

Об этом заявил военный эксперт Александр Хроленко, комментируя принятый Госдумой закон о защите россиян за рубежом.

Он позволяет использовать армию для защиты россиян за границей. По словам Хроленко, речь идет не только о случаях их уголовного преследования, цели закона гораздо шире.

""В Приднестровье проживают более 350 тыс. граждан РФ. Они тоже нуждаются в защите. И Россия гото"
same_text,4f785f999ee12465,2,MoldovaPolitics;gagauznewsmd,2026-05-19T16:25:56+00:00,gagauznewsmd,anti_sandu_governance;anti_west_eu,"Аплодисменты в Европарламенте после слов о «диктаторе Санду»: в Страсбурге разгорелся скандал

На брюссельском капустнике — громкий политический скандал. Во время церемонии награждения президента Молдовы Майя Санду в Европарламенте из зала внезапно раздалось:

«Майя Санду — диктатор!»

А затем — под аплодисменты части присутствующих — прозвучало ещё более жёсткое заявление:
«Госпожа президент Майя Санду — диктатор! Я румынский журналист, жертва злоупотреблений Майи Санду! Она покрывает на"
same_text,feaccb3e03207684,2,MoldovaPolitics;gagauznewsmd,2026-05-23T09:03:52+00:00,gagauznewsmd,anti_sandu_governance;gagauz_identity_history,"⚡️🗣 Нет в мире человека, который ненавидел бы Молдову так рьяно и демонстративно, как Майя Санду - Таубер

Экс-депутат парламента Молдовы Марина Таубер обвинила Майю Санду в предательстве национальных интересов.

«Нет в мире человека, который ненавидел бы Молдову так рьяно и демонстративно, как Майя Санду. Развалив страну, уничтожив экономику и лишив граждан достойной жизни, президентша ездит по зарубежным турне — рассказывать иностранной публике, что сама независимая Молдова была, оказывает"
same_text,a63469510cfd004c,2,MoldovaPolitics;gagauznewsmd,2026-05-24T08:59:42+00:00,gagauznewsmd,gagauz_identity_history;russian_language_identity,"📹 🇷🇺 🇲🇩  Язык в переломные моменты истории становится ключевым элементом идентичности народа - Озеров

Посол России в Молдове Олег Озеров принял участие в церемонии возложения цветов к памятнику Александра Сергеевича Пушкина в центральном парке Кишинёва по случаю Дня славянской письменности и культуры.

Выступая на мероприятии, дипломат подчеркнул особую роль языка в судьбе народа и государства. 

По словам Озерова, в переломные исторические периоды именно язык становится ключевым элементо"
same_text,e72fbdaff8ae7f76,2,Republic_Of_GaGauZia;pridnestrovec,2026-01-28T06:49:40+00:00,Republic_Of_GaGauZia,,"«Этот слюнявый идиот даже не понимает, что Starlink - это основа военной связи Украины»:

Маск - отреагировал на твит министра иностранных дел Польши Сикорского на требование отключить Starlink в зоне СВО."
same_text,bd290269ae0a78fd,2,Republic_Of_GaGauZia;pridnestrovec,2026-03-09T09:36:36+00:00,pridnestrovec,,"Цена газа в Европе превысила $800 впервые с января 2023 года

Цена газа на бирже в Европе на открытии торгов выросла до около $820 за 1 тыс. куб. м, или €68,635 за МВт.ч."
same_text,616d7463a440fdde,2,Republic_Of_GaGauZia;pridnestrovec,2026-05-01T08:57:26+00:00,Republic_Of_GaGauZia,anti_west_eu,"⚡️ Парламент Азербайджана объявил на пленарном заседании о приостановке связей с Европарламентом по всем направлениям, сообщает пресс-служба.

Ранее президент страны Ильхам Алиев заявлял, что Европейский парламент и Парламентская Ассамблея Совета Европы превратились в платформы, пропагандирующие исламофобию."
same_text,08dfdb067088644e,2,Republic_Of_GaGauZia;pridnestrovec,2026-05-21T11:26:48+00:00,pridnestrovec,russian_citizenship,"ℹ️ Уважаемые жители Приднестровья!

➡️ Спешим сообщить, что приём по вопросу приобретения российского гражданства на основании Указа Президента Российской Федерации В.В. Путина от 15.05.2026 № 330 начнется 25 мая с.г.

📑 С информацией о перечне необходимых документов и иными деталями Вы можете ознакомиться на официальном сайте Посольства Российской Федерации в Республике Молдова.

🇷🇺 Отмечаем стремительно растущее количество обращений заявителей, желающих вступить в российское гражданство."
